MSISDN,IMSI,ICCID,CustomerCategory,Circle,PlanID,DataQuotaGB,ValidityDays
919800000001,404450000000001,8991440400000000001,Prepaid,Maharashtra,PREPAID_299_UNLIM,2,28
919800000002,404450000000002,8991440400000000002,Postpaid,Delhi,POSTPAID_799_CORP,150,30
919800000003,404450000000003,8991440400000000003,Prepaid,Karnataka,PREPAID_199_DATA,1.5,24
919800000004,404450000000004,8991440400000000004,Prepaid,TamilNadu,PREPAID_399_5G,3,28
919800000005,404450000000005,8991440400000000005,Postpaid,Gujarat,POSTPAID_999,200,30
919800000006,404450000000006,8991440400000000006,Prepaid,Bihar,PREPAID_249,1.5,28
919800000007,404450000000007,8991440400000000007,Prepaid,Assam,PREPAID_179,1,24
919800000008,404450000000008,8991440400000000008,Postpaid,Rajasthan,POSTPAID_699,120,30
919800000009,404450000000009,8991440400000000009,Prepaid,Punjab,PREPAID_155,1,24
919800000010,404450000000010,8991440400000000010,Prepaid,Kerala,PREPAID_299_UNLIM,2,28
919800000011,404450000000011,8991440400000000011,Postpaid,UP_East,POSTPAID_1199,300,30
919800000012,404450000000012,8991440400000000012,Prepaid,WestBengal,PREPAID_199,1.5,24
919800000013,404450000000013,8991440400000000013,Prepaid,Haryana,PREPAID_239,1.5,28
919800000014,404450000000014,8991440400000000014,Postpaid,MP,POSTPAID_799,150,30
919800000015,404450000000015,8991440400000000015,Prepaid,Odisha,PREPAID_219,1.5,28
919800000016,404450000000016,8991440400000000016,Prepaid,Andhra,PREPAID_299,2,28
919800000017,404450000000017,8991440400000000017,Postpaid,Mumbai,POSTPAID_1499,500,30
919800000018,404450000000018,8991440400000000018,Prepaid,Chhattisgarh,PREPAID_199,1.5,24
919800000019,404450000000019,8991440400000000019,Prepaid,Jharkhand,PREPAID_209,1.5,28
919800000020,404450000000020,8991440400000000020,Postpaid,Himachal,POSTPAID_699,120,30
919800000021,404450000000021,8991440400000000021,Prepaid,NorthEast,PREPAID_179,1,24
919800000022,404450000000022,8991440400000000022,Prepaid,Goa,PREPAID_299,2,28
919800000023,404450000000023,8991440400000000023,Postpaid,Telangana,POSTPAID_999,200,30
